name,price,address,access,area,layout,yyyymm_construction,url,station_name,line,minutes,yyyymm,age,id
≪価格改定≫ソピア大濠西,5280,福岡県福岡市中央区鳥飼３,地下鉄空港線「西新」徒歩10分,69.57,3LDK,1999年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20835624/,西新,地下鉄空港線,10,1999-03-01,27,20835624
東峰マンションアーバンスクエア博多駅,5599,福岡県福岡市博多区博多駅南１,ＪＲ鹿児島本線「博多」徒歩8分,61.08,2LDK,2000年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_21336150/,博多,ＪＲ鹿児島本線,8,2000-11-01,26,21336150
大濠公園グランドヒルズ,5780,福岡県福岡市中央区荒戸２-3-49,地下鉄空港線「大濠公園」徒歩4分,70.11,3LDK,1990年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21196117/,大濠公園,地下鉄空港線,4,1990-09-01,36,21196117
パークホームズ室見駅前,5780,福岡県福岡市早良区室見５,地下鉄空港線「藤崎」徒歩13分,71.47,3LDK,2004年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_21251965/,藤崎,地下鉄空港線,13,2004-05-01,22,21251965
パークホームズ室見駅前,5780,福岡県福岡市早良区室見５-7-27,地下鉄空港線「藤崎」徒歩13分,71.47,3LDK,2004年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_21259956/,藤崎,地下鉄空港線,13,2004-05-01,22,21259956
ソピア天神,5980,福岡県福岡市中央区警固１,地下鉄七隈線「薬院大通」徒歩7分,66.24,3LDK,1999年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20447816/,薬院大通,地下鉄七隈線,7,1999-02-01,27,20447816
東峰マンション第二西公園,5980,福岡県福岡市中央区荒戸３,地下鉄空港線「唐人町」徒歩8分,103.54,4LDK,1982年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20851652/,唐人町,地下鉄空港線,8,1982-02-01,44,20851652
インプレスト天神オークタワー,5990,福岡県福岡市中央区長浜２,地下鉄空港線「赤坂」徒歩9分,56.79,2LDK,2020年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78973290/,赤坂,地下鉄空港線,9,2020-05-01,6,78973290
ロワール赤坂けやき通り,6180,福岡県福岡市中央区赤坂３,地下鉄七隈線「桜坂」徒歩9分,83.6,4LDK,2005年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21096471/,桜坂,地下鉄七隈線,9,2005-12-01,21,21096471
ライオンズタワー城南別府,6198,福岡県福岡市城南区別府５,地下鉄七隈線「別府」徒歩5分,75.72,3LDK,2002年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_21429306/,別府,地下鉄七隈線,5,2002-11-01,24,21429306
