name,price,address,access,area,layout,yyyymm_construction,url,station_name,line,minutes,yyyymm,age
笹丘パーク・マンション,2090,福岡県福岡市中央区笹丘３,地下鉄七隈線「桜坂」徒歩35分,69.07,3LDK,1995年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_73806646/,桜坂,地下鉄七隈線,35,1995-03-01,29
コープ野村平尾山荘　中古マンション,2090,福岡県福岡市中央区山荘通３,地下鉄七隈線「薬院大通」徒歩13分,73.65,3LDK,1978年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_73920328/,薬院大通,地下鉄七隈線,13,1978-07-01,46
コープ野村平尾山荘,2090,福岡県福岡市中央区山荘通３,地下鉄七隈線「薬院大通」徒歩13分,73.65,3LDK,1978年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74181896/,薬院大通,地下鉄七隈線,13,1978-07-01,46
コープ野村平尾山荘,2090,福岡県福岡市中央区山荘通３,地下鉄七隈線「薬院大通」徒歩13分,73.65,3LDK,1978年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_73806195/,薬院大通,地下鉄七隈線,13,1978-07-01,46
笹丘パーク・マンション,2090,福岡県福岡市中央区笹丘３,地下鉄七隈線「六本松」徒歩30分,69.07,3LDK,1995年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_72994369/,六本松,地下鉄七隈線,30,1995-03-01,29
笹丘パーク・マンション,2090,福岡県福岡市中央区笹丘３,地下鉄七隈線「桜坂」徒歩35分,69.07,3LDK,1995年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74042971/,桜坂,地下鉄七隈線,35,1995-03-01,29
リーベスト小笹,2130,福岡県福岡市中央区小笹４,地下鉄七隈線「桜坂」徒歩22分,71.15,3LDK,1995年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74814050/,桜坂,地下鉄七隈線,22,1995-03-01,29
リーベスト小笹,2130,福岡県福岡市中央区小笹４,地下鉄七隈線「桜坂」徒歩22分,71.15,3LDK,1996年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_72118076/,桜坂,地下鉄七隈線,22,1996-03-01,28
東峰マンション大濠,2190,福岡県福岡市中央区鳥飼１,地下鉄七隈線「六本松」徒歩15分,72.9,2LDK,1977年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74117230/,六本松,地下鉄七隈線,15,1977-07-01,47
コープ野村平尾山荘,2190,福岡県福岡市中央区山荘通３,地下鉄七隈線「薬院大通」徒歩13分,73.65,3LDK,1978年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74160751/,薬院大通,地下鉄七隈線,13,1978-07-01,46
コープ野村平尾山荘,2190,福岡県福岡市中央区山荘通３,地下鉄七隈線「薬院大通」徒歩13分,73.65,3LDK,1978年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74725006/,薬院大通,地下鉄七隈線,13,1978-07-01,46
コアマンション博多ステーションプラザ,2198,福岡県福岡市博多区堅粕４-16-18,ＪＲ鹿児島本線「博多」徒歩14分,64.25,3LDK,1995年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74692876/,博多,ＪＲ鹿児島本線,14,1995-11-01,29
ホワイトキャッスル城南,2200,福岡県福岡市城南区茶山６,地下鉄七隈線「別府」徒歩15分,71.96,3LDK,1988年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_74713934/,別府,地下鉄七隈線,15,1988-07-01,36
コアマンション小笹2,2248,福岡県福岡市中央区小笹１,地下鉄七隈線「桜坂」徒歩34分,70.76,3LDK,1996年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_73388824/,桜坂,地下鉄七隈線,34,1996-01-01,28
サンハイツ平尾,2270,福岡県福岡市中央区平尾２,地下鉄七隈線「薬院」徒歩13分,61.51,2LDK,1974年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74839798/,薬院,地下鉄七隈線,13,1974-11-01,50
サンハイツ平尾,2270,福岡県福岡市中央区平尾２,地下鉄七隈線「薬院大通」徒歩13分,56.68,2LDK,1983年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74969354/,薬院大通,地下鉄七隈線,13,1983-08-01,41
藤和西新コープ,2280,福岡県福岡市早良区城西２,地下鉄七隈線「別府」徒歩17分,77.66,2LDK+S（納戸）,1977年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74400768/,別府,地下鉄七隈線,17,1977-12-01,47
藤和西新コープ,2280,福岡県福岡市早良区城西２,地下鉄七隈線「別府」徒歩16分,77.66,2LDK+S（納戸）,1977年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_73952356/,別府,地下鉄七隈線,16,1977-12-01,47
エバーライフ住吉,2280,福岡県福岡市博多区住吉４,地下鉄空港線「博多」徒歩13分,48.6,2DK,1985年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74971466/,博多,地下鉄空港線,13,1985-09-01,39
グランピア荒江　中古マンション,2290,福岡県福岡市早良区荒江２,地下鉄七隈線「別府」徒歩18分,80.77,3LDK,1980年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74316026/,別府,地下鉄七隈線,18,1980-03-01,44
ミリオンコーポラスニュー白亜館,2290,福岡県福岡市中央区清川２,西鉄天神大牟田線「薬院」徒歩15分,68.04,2LDK,1980年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_73895745/,薬院,西鉄天神大牟田線,15,1980-10-01,44
ミリオンコーポラスニュー白亜館,2290,福岡県福岡市中央区清川２,西鉄天神大牟田線「薬院」徒歩15分,68.04,2LDK,1980年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_73921318/,薬院,西鉄天神大牟田線,15,1980-10-01,44
平尾パインマンション,2299,福岡県福岡市中央区平尾５,地下鉄七隈線「薬院大通」徒歩19分,74.77,3LDK,1980年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_73806012/,薬院大通,地下鉄七隈線,19,1980-02-01,44
ライオンズマンション城南,2350,福岡県福岡市城南区荒江１,地下鉄七隈線「別府」徒歩12分,77.5,2LDK,1987年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_74216477/,別府,地下鉄七隈線,12,1987-09-01,37
ロイヤルマンション荒江,2380,福岡県福岡市城南区荒江１-18-5,地下鉄七隈線「別府」徒歩14分,66.96,3LDK,1985年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_74734598/,別府,地下鉄七隈線,14,1985-09-01,39
ロイヤルマンション荒江,2380,福岡県福岡市城南区荒江１,地下鉄七隈線「別府」徒歩14分,66.96,3LDK,1985年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_74840110/,別府,地下鉄七隈線,14,1985-09-01,39
ロイヤルマンション荒江,2380,福岡県福岡市城南区荒江１-18-5,地下鉄七隈線「別府」徒歩13分,66.96,3LDK,1985年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_74344489/,別府,地下鉄七隈線,13,1985-09-01,39
